"reg_type","bacterium","phenotype","beta","low_ci","up_ci","t_or_z","p_value","FDR_p","sig_p","sig_FDR_p"
"logistic","g_Ralstonia","IFG",0.27711568367686,0.116342197738149,0.443647008651212,3.32206864079372,0.000893527099761027,0.00297842366587009,"***","**"
"logistic","g_Sediminibacterium","IFG",0.29062937411764,0.134056379409788,0.451092690576012,3.59710240402653,0.000321781824170242,0.00160890912085121,"***","**"
"logistic","g_Bradyrhizobium","IFG",0.22149765037084,0.0659085824866828,0.379437330867394,2.77239410628653,0.00556456209749173,0.0139114052437293,"**","*"
"logistic","g_Adlercreutzia","IFG",0.00507909762542112,-0.141988845768549,0.138097609511533,0.071419239496469,0.943064097803873,0.943064097803873,"",""
"logistic","g_Pseudidiomarina","IFG",0.252445144320038,0.119919703825239,0.379163471705851,3.82560623431189,0.000130450663254629,0.00130450663254629,"***","**"
"logistic","g_Prauseria","IFG",0.0859693338817069,-0.0453735860424527,0.206659691807284,1.34264013054784,0.17938852929523,0.224235661619038,"",""
"logistic","g_SMB53","IFG",0.122774317513689,-0.0145790200077146,0.25332286636946,1.80041612522017,0.0717949565254388,0.119658260875731,"",""
"logistic","g_Halomonas","IFG",0.0837177582958349,-0.0640757438146062,0.223604315368233,1.14341451905401,0.252866527115273,0.280962807905859,"",""
"logistic","g_Phascolarctobacterium","IFG",-0.156092333373326,-0.307186472649428,-0.00308423841121372,-2.01401102415625,0.0440083760754727,0.0880167521509454,"*",""
"logistic","g_Bilophila","IFG",-0.130351576937377,-0.296699033168376,0.0292931383790273,-1.57007217722853,0.116398320553128,0.166283315075897,"",""
